@relation InstanceResultListener

@attribute Key_Dataset {kc1-class-level-numericdefect}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.trees.RandomForest,weka.classifiers.trees.J48,weka.classifiers.bayes.NaiveBayes}
@attribute Key_Scheme_options {'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1','-C 0.25 -M 2',''}
@attribute Key_Scheme_version_ID {1116839470751428698,-217733168393644444,5995231201785697655}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 14\nSize of the tree: 27\n','Number of leaves: 10\nSize of the tree: 19\n','Number of leaves: 11\nSize of the tree: 21\n','Number of leaves: 12\nSize of the tree: 23\n','Number of leaves: 9\nSize of the tree: 17\n','Number of leaves: 15\nSize of the tree: 29\n'}
@attribute measureOutOfBagError numeric
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

kc1-class-level-numericdefect,1,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20220726.1408,96,49,40,9,0,81.632653,18.367347,0,0.616855,0.27551,0.387941,56.805496,78.913955,47.815932,31.226905,16.589027,0.975835,0.637284,0.338552,21.362912,0.435978,44.677394,0.75,15,0.137931,4,0.862069,25,0.25,5,0.789474,0.75,0.769231,0.617415,0.866379,0.793184,0.816327,0.204258,0.795742,0.183673,0.815431,0.816327,0.815528,0.617415,0.866379,0.869076,0.808344,0.816327,0.049,0.002,0.04,0,40,0,178928,82505,45422,100,82.653061,?,-1,?,?,?
kc1-class-level-numericdefect,2,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20220726.1408,95,50,32,18,0,64,36,0,0.2891,0.359,0.460702,73.871447,93.331714,49.081342,44.424324,4.657018,0.981627,0.888486,0.09314,12.980556,0.259611,26.447028,0.714286,15,0.413793,12,0.586207,17,0.285714,6,0.555556,0.714286,0.625,0.297575,0.745484,0.6231,0.64,0.339507,0.660493,0.36,0.662029,0.64,0.641731,0.297575,0.745484,0.756135,0.639423,0.64,0.041,0.004,0.04,0,40,0,162839,81716,46211,98,87,?,-1,?,?,?
kc1-class-level-numericdefect,3,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20220726.1408,95,50,34,16,0,68,32,0,0.334443,0.3414,0.462162,70.249894,93.627625,49.081342,1113.849075,-1064.767733,0.981627,22.276982,-21.295355,14.291492,0.28583,29.117974,0.571429,12,0.241379,7,0.758621,22,0.428571,9,0.631579,0.571429,0.6,0.335606,0.756979,0.648189,0.68,0.349951,0.650049,0.32,0.676876,0.68,0.677333,0.335606,0.756979,0.757353,0.666667,0.68,0.038,0.003,0.04,0,40,0,153100,81716,46211,96,81,?,-1,?,?,?
kc1-class-level-numericdefect,4,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20220726.1408,96,49,36,13,0,73.469388,26.530612,0,0.461538,0.310408,0.412026,63.754491,83.188425,48.336825,1104.223884,-1055.88706,0.986466,22.535181,-21.548716,17.945337,0.366231,37.125602,0.714286,15,0.25,7,0.75,21,0.285714,6,0.681818,0.714286,0.697674,0.461935,0.808673,0.751885,0.734694,0.270408,0.729592,0.265306,0.736652,0.734694,0.735367,0.461935,0.808673,0.810273,0.730655,0.734694,0.06,0.003,0.06,0,60,0,166818,82505,45422,97.959184,82.653061,?,-1,?,?,?
kc1-class-level-numericdefect,5,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20220726.1408,95,50,38,12,0,76,24,0,0.531981,0.3284,0.427654,67.574883,86.636738,49.081342,39.834324,9.247018,0.981627,0.796686,0.18494,16.693186,0.333864,34.011268,0.904762,19,0.344828,10,0.655172,19,0.095238,2,0.655172,0.904762,0.76,0.559934,0.80624,0.656007,0.76,0.200066,0.799934,0.24,0.799934,0.76,0.76,0.559934,0.80624,0.786426,0.76,0.76,0.069,0.003,0.06,0,60,0,160706,81716,46211,98,85,?,-1,?,?,?
kc1-class-level-numericdefect,6,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20220726.1408,96,49,37,12,0,75.510204,24.489796,0,0.515651,0.324694,0.401332,66.946329,81.637981,47.815932,33.412985,14.402947,0.975835,0.681898,0.293938,16.633483,0.339459,34.786488,0.85,17,0.310345,9,0.689655,20,0.15,3,0.653846,0.85,0.73913,0.531471,0.842241,0.74365,0.755102,0.215447,0.784553,0.244898,0.781517,0.755102,0.756945,0.531471,0.842241,0.841156,0.754181,0.755102,0.061,0.005,0.06,0,60,0,175087,82505,45422,100,90.816327,?,-1,?,?,?
kc1-class-level-numericdefect,7,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20220726.1408,95,50,36,14,0,72,28,0,0.447077,0.3434,0.441731,70.661434,89.488464,49.081342,40.59336,8.487982,0.981627,0.811867,0.16976,14.875402,0.297508,30.307651,0.809524,17,0.344828,10,0.655172,19,0.190476,4,0.62963,0.809524,0.708333,0.460185,0.768473,0.672316,0.72,0.255304,0.744696,0.28,0.743575,0.72,0.721346,0.460185,0.768473,0.780473,0.719551,0.72,0.054,0.004,0.06,0,60,0,159777,81716,46211,100,88,?,-1,?,?,?
kc1-class-level-numericdefect,8,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20220726.1408,97,48,34,14,0,70.833333,29.166667,0,0.408451,0.320625,0.412197,66.014298,83.607686,47.03461,33.316516,13.718093,0.979888,0.694094,0.285794,16.283644,0.339243,34.620558,0.7,14,0.285714,8,0.714286,20,0.3,6,0.636364,0.7,0.666667,0.409917,0.815179,0.726096,0.708333,0.294048,0.705952,0.291667,0.713869,0.708333,0.709877,0.409917,0.815179,0.824375,0.703704,0.708333,0.084,0.003,0.06,0.01,60,10,185455,83294,44633,100,86.458333,?,-1,?,?,?
kc1-class-level-numericdefect,9,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20220726.1408,95,50,34,16,0,68,32,0,0.343186,0.3316,0.432671,68.233347,87.653053,49.081342,38.073301,11.008041,0.981627,0.761466,0.220161,15.815935,0.316319,32.223926,0.619048,13,0.275862,8,0.724138,21,0.380952,8,0.619048,0.619048,0.619048,0.343186,0.778325,0.672732,0.68,0.336814,0.663186,0.32,0.68,0.68,0.68,0.343186,0.778325,0.790279,0.671593,0.68,0.042,0.003,0.04,0,40,0,179795,81716,46211,100,89,?,-1,?,?,?
