Key_Dataset,Key_Run,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,measureOutOfBagError,measureTreeSize,measureNumLeaves,measureNumRules
kc1-class-level-numericdefect,1,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,2.02207261713E7,96.0,49.0,40.0,9.0,0.0,81.63265306122449,18.367346938775512,0.0,0.6168549087749783,0.27551020408163257,0.3879406645141412,56.805495920996115,78.91395518078464,47.81593185850601,31.226905119104686,16.589026739401326,0.9758353440511431,0.637283777940912,0.33855156611023113,21.362912042383325,0.43597779678333315,44.67739352147136,0.75,15.0,0.13793103448275862,4.0,0.8620689655172413,25.0,0.25,5.0,0.7894736842105263,0.75,0.7692307692307692,0.617414647497894,0.8663793103448276,0.793183747102515,0.8163265306122449,0.20425756509500353,0.7957424349049964,0.1836734693877551,0.8154314357321876,0.8163265306122449,0.8155282973684911,0.617414647497894,0.8663793103448276,0.8690760325536467,0.8083441981747066,0.8163265306122449,0.063,0.003,0.06,0.0,60.0,0.0,178928.0,82505.0,45422.0,100.0,82.65306122448979,?,-1.0,?,?,?
kc1-class-level-numericdefect,2,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,2.02207261713E7,95.0,50.0,32.0,18.0,0.0,64.0,36.0,0.0,0.2890995260663508,0.35899999999999993,0.46070163880759096,73.87144675434874,93.33171403217813,49.08134170594429,44.42432418318987,4.657017522754423,0.9816268341188858,0.8884864836637973,0.09314035045508845,12.980556112845841,0.25961112225691685,26.447027855544043,0.7142857142857143,15.0,0.41379310344827586,12.0,0.5862068965517241,17.0,0.2857142857142857,6.0,0.5555555555555556,0.7142857142857143,0.6250000000000001,0.29757513776176114,0.7454844006568144,0.6230999231381248,0.64,0.33950738916256157,0.6604926108374385,0.36,0.6620289855072464,0.64,0.6417307692307693,0.2975751377617611,0.7454844006568143,0.7561351559941655,0.639423076923077,0.64,0.045,0.003,0.04,0.0,40.0,0.0,162839.0,81716.0,46211.0,98.0,87.0,?,-1.0,?,?,?
kc1-class-level-numericdefect,3,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,2.02207261713E7,95.0,50.0,34.0,16.0,0.0,68.0,32.0,0.0,0.33444259567387696,0.3414,0.4621623091512332,70.24989393296566,93.62762543193121,49.08134170594427,1113.8490751481106,-1064.7677334421664,0.9816268341188854,22.27698150296221,-21.29535466884333,14.291492084190732,0.28582984168381464,29.117973526098375,0.5714285714285714,12.0,0.2413793103448276,7.0,0.7586206896551724,22.0,0.42857142857142855,9.0,0.631578947368421,0.5714285714285714,0.6,0.33560603641343373,0.7569786535303776,0.648189261771218,0.68,0.34995073891625617,0.6500492610837437,0.32,0.6768760611205432,0.68,0.6773333333333333,0.3356060364134338,0.7569786535303777,0.7573526383916598,0.6666666666666666,0.68,0.073,0.003,0.05,0.0,50.0,0.0,153100.0,81716.0,46211.0,96.0,81.0,?,-1.0,?,?,?
kc1-class-level-numericdefect,4,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,2.02207261713E7,96.0,49.0,36.0,13.0,0.0,73.46938775510205,26.53061224489796,0.0,0.46153846153846156,0.3104081632653061,0.4120258561333851,63.754491017964085,83.18842522659517,48.336824505438585,1104.223884252661,-1055.8870597472223,0.9864658062334405,22.535181311278798,-21.548715505045354,17.945337173601832,0.3662313708898333,37.12560218262316,0.7142857142857143,15.0,0.25,7.0,0.75,21.0,0.2857142857142857,6.0,0.6818181818181818,0.7142857142857143,0.6976744186046512,0.46193488543715594,0.8086734693877551,0.7518852995743753,0.7346938775510204,0.27040816326530615,0.7295918367346939,0.2653061224489796,0.7366522366522367,0.7346938775510204,0.7353669586227726,0.46193488543715594,0.8086734693877551,0.8102728721128443,0.7306553911205075,0.7346938775510204,0.039,0.142,0.04,0.0,40.0,0.0,166818.0,82505.0,45422.0,97.95918367346938,82.65306122448979,?,-1.0,?,?,?
kc1-class-level-numericdefect,5,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,2.02207261713E7,95.0,50.0,38.0,12.0,0.0,76.0,24.0,0.0,0.5319812792511701,0.32839999999999997,0.42765406580552934,67.57488332626217,86.63673755918555,49.0813417059443,39.83432384797841,9.247017857965886,0.981626834118886,0.7966864769595682,0.18494035715931773,16.69318642949805,0.333863728589961,34.011267518948685,0.9047619047619048,19.0,0.3448275862068966,10.0,0.6551724137931034,19.0,0.09523809523809523,2.0,0.6551724137931034,0.9047619047619048,0.7599999999999999,0.5599343185550082,0.80623973727422,0.6560065702148851,0.76,0.20006568144499182,0.7999343185550082,0.24,0.7999343185550082,0.76,0.7599999999999999,0.5599343185550082,0.8062397372742199,0.7864262799553687,0.7599999999999999,0.76,0.036,0.002,0.03,0.0,30.0,0.0,160706.0,81716.0,46211.0,98.0,85.0,?,-1.0,?,?,?
kc1-class-level-numericdefect,6,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,2.02207261713E7,96.0,49.0,37.0,12.0,0.0,75.51020408163265,24.489795918367346,0.0,0.515650741350906,0.32469387755102036,0.40133196600666576,66.94632889652209,81.6379814622701,47.815931858506026,33.41298522218071,14.402946636325318,0.9758353440511434,0.6818976575955247,0.29393768645561874,16.633483443040554,0.33945884577633784,34.786488094096626,0.85,17.0,0.3103448275862069,9.0,0.6896551724137931,20.0,0.15,3.0,0.6538461538461539,0.85,0.7391304347826088,0.5314712163311296,0.8422413793103448,0.7436500975305529,0.7551020408163265,0.2154468684025334,0.7845531315974666,0.24489795918367346,0.7815166200259368,0.7551020408163265,0.7569449184356017,0.5314712163311297,0.8422413793103449,0.8411558694311674,0.754180602006689,0.7551020408163265,0.038,0.002,0.04,0.0,40.0,0.0,175087.0,82505.0,45422.0,100.0,90.81632653061224,?,-1.0,?,?,?
kc1-class-level-numericdefect,7,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,2.02207261713E7,95.0,50.0,36.0,14.0,0.0,72.0,28.0,0.0,0.4470774091627172,0.34339999999999987,0.4417306871839447,70.66143402630463,89.48846433929843,49.08134170594427,40.593359665053754,8.487982040890515,0.9816268341188854,0.811867193301075,0.16975964081781028,14.875401866822669,0.29750803733645337,30.30765123729513,0.8095238095238095,17.0,0.3448275862068966,10.0,0.6551724137931034,19.0,0.19047619047619047,4.0,0.6296296296296297,0.8095238095238095,0.7083333333333334,0.46018450265889843,0.7684729064039408,0.6723158626236694,0.72,0.255303776683087,0.744696223316913,0.28,0.7435748792270531,0.72,0.7213461538461539,0.4601845026588984,0.7684729064039408,0.7804726352395908,0.7195512820512822,0.72,0.058,0.003,0.03,0.01,30.0,10.0,159777.0,81716.0,46211.0,100.0,88.0,?,-1.0,?,?,?
kc1-class-level-numericdefect,8,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,2.02207261713E7,97.0,48.0,34.0,14.0,0.0,70.83333333333333,29.166666666666668,0.0,0.40845070422535223,0.320625,0.41219685830923075,66.01429809358751,83.60768608585528,47.03460980788755,33.3165163654628,13.718093442424745,0.9798877043309906,0.6940940909471417,0.28579361338384884,16.283644301908964,0.33924258962310344,34.62055785818011,0.7,14.0,0.2857142857142857,8.0,0.7142857142857143,20.0,0.3,6.0,0.6363636363636364,0.7,0.6666666666666666,0.40991702578932737,0.8151785714285714,0.7260962175846174,0.7083333333333334,0.29404761904761906,0.705952380952381,0.2916666666666667,0.7138694638694639,0.7083333333333334,0.7098765432098766,0.40991702578932737,0.8151785714285714,0.824374883606541,0.7037037037037037,0.7083333333333334,0.039,0.002,0.03,0.0,30.0,0.0,185455.0,83294.0,44633.0,100.0,86.45833333333333,?,-1.0,?,?,?
kc1-class-level-numericdefect,9,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,2.02207261713E7,95.0,50.0,34.0,16.0,0.0,68.0,32.0,0.0,0.3431855500821019,0.3315999999999999,0.43267077553262134,68.23334747560456,87.65305284480785,49.08134170594429,38.07330119680907,11.00804050913522,0.9816268341188858,0.7614660239361813,0.22016081018270442,15.815935263608115,0.31631870527216227,32.22392606617074,0.6190476190476191,13.0,0.27586206896551724,8.0,0.7241379310344828,21.0,0.38095238095238093,8.0,0.6190476190476191,0.6190476190476191,0.6190476190476191,0.34318555008210183,0.7783251231527094,0.6727323321283767,0.68,0.33681444991789816,0.6631855500821018,0.32,0.68,0.68,0.68,0.34318555008210183,0.7783251231527095,0.7902792984195939,0.671592775041051,0.68,0.038,0.002,0.03,0.0,30.0,0.0,179795.0,81716.0,46211.0,100.0,89.0,?,-1.0,?,?,?
kc1-class-level-numericdefect,10,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,2.02207261713E7,96.0,49.0,33.0,16.0,0.0,67.34693877551021,32.6530612244898,0.0,0.30249110320284694,0.30265306122448976,0.40917787160627944,62.40188922284241,83.23397667358935,47.81593185850601,34.82279948322764,12.993132375278371,0.9758353440511431,0.7106693772087274,0.2651659668424157,17.78076477834437,0.3628727505784565,37.185858535519344,0.5,10.0,0.20689655172413793,6.0,0.7931034482758621,23.0,0.5,10.0,0.625,0.5,0.5555555555555556,0.30719770250142264,0.8258620689655173,0.7547727893557412,0.673469387755102,0.38036593947923997,0.6196340605207601,0.32653061224489793,0.6675943104514535,0.673469387755102,0.6658620437422281,0.30719770250142264,0.8258620689655174,0.8408287058666707,0.6487455197132617,0.673469387755102,0.042,0.003,0.03,0.0,30.0,0.0,168023.0,82505.0,45422.0,97.95918367346938,83.6734693877551,?,-1.0,?,?,?
